street,city,zip_code,county,country,latitude,longitude,time_zone
267 Beer Plaza,East Khalilton,35397-1536,Oxfordshire,Wallis and Futuna,78.193,-60.748,America/Denver
138 King Springs,New Wallaceberg,79059-2335,Hampshire,Slovakia (Slovak Republic),-61.746,125.403,America/Denver
343 Leffler Fields,Jaskolskifort,70201,Cornwall,Colombia,-85.26,-131.437,America/Denver
965 Harmon Lodge,Lake Cesar,19641,Northumberland,Gabon,-56.598,131.123,America/Denver
779 Dariana Junction,Franeckiview,50218,Surrey,Moldova,73.368,-124.524,America/Denver
460 Myriam Spur,Jaquelinview,34373-6357,West Sussex,Monaco,50.974,61.955,America/Denver
1132 Doyle Expressway,New Solonmouth,76443-3183,Rutland,Monaco,-88.517,-31.582,America/Denver
517 Buckridge Drives,West Dorris,82485-3414,Devon,Bahrain,30.069,5.821,America/Denver
1459 Corwin Mission,State College,88114-8036,Worcestershire,Congo,-82.511,73.123,America/Denver
507 Stiedemann Field,Port Salvador,69087-3257,South Yorkshire,Peru,60.18,-61.838,America/Denver
286 Esteban Inlet,New Philip,75299,Warwickshire,Guinea-Bissau,65.321,-157.923,America/Denver
1308 Viviane Junctions,Durwardton,57294-5940,Nottinghamshire,Estonia,-56.45,99.241,America/Denver
1161 Lehner Drive,White Plains,11736-1108,Tyne and Wear,French Southern Territories,54.745,130.574,America/Denver
1157 Eugenia Heights,Rettaland,25655-2978,West Sussex,Uruguay,-1.727,-115.123,America/Denver
1256 Zulauf Branch,Kuvalismouth,80927-8805,Staffordshire,Sri Lanka,10.85,-55.836,America/Denver
581 Cade Forks,Bahringertown,29610-6361,Devon,Uruguay,-57.976,3.845,America/Denver
1338 Parker Ways,Shoreline,10534-5511,Devon,Nauru,76.561,145.037,America/Denver
753 Torphy Fords,South Dagmarshire,43161-4413,Bedfordshire,Antigua and Barbuda,-30.031,10.935,America/Denver
423 Max Wall,West Simone,30688-5998,Rutland,Christmas Island,-12.939,-127.331,America/Denver
832 Quigley Parkways,South Stacey,60563,Leicestershire,Christmas Island,-29.397,-21.798,America/Denver
1169 Zboncak Center,Lawrence,58544,Herefordshire,Saint Martin,87.229,-130.582,America/Denver
591 Adell Mews,North Frankie,84425-7825,Suffolk,Somalia,28.653,176.425,America/Denver
1415 Dianna Inlet,North Kaleighshire,20486-2964,West Yorkshire,Wallis and Futuna,6.594,177.905,America/Denver
69 Forest Path,Marionton,49595,Leicestershire,Congo,12.347,139.319,America/Denver
1051 Aracely Row,Aliso Viejo,14959-9027,Cumbria,Cocos (Keeling) Islands,-72.839,176.569,America/Denver
1040 Myriam Spur,Metairie,56982,East Sussex,Indonesia,-56.051,-56.452,America/Denver
1102 Sammy Creek,North Antonetta,21513-1002,Tyne and Wear,Faroe Islands,50.135,31.881,America/Denver
147 Kihn Expressway,North Frankie,35047,Wiltshire,Tajikistan,72.878,-13.506,America/Denver
1393 Aracely Row,South Verdieton,87792-5981,East Sussex,Nauru,89.858,-165.249,America/Denver
1135 Doyle Expressway,New Wallaceberg,91083-1021,North Yorkshire,Panama,67.886,118.065,America/Denver
689 Cronin Shoal,Marionton,81836-5234,Cheshire,Canada,63.086,-100.821,America/Denver
1448 Caesar Place,New Garlandfort,57879-7242,Leicestershire,United Kingdom,25.838,29.923,America/Denver
293 Schumm Land,Frisco,29153-3382,Surrey,Albania,-18.897,83.56,America/Denver
1289 Adell Mews,Port Asa,49806,Devon,Belize,28.125,-52.87,America/Denver
829 Heathcote Cliff,Franeckiview,90607-2321,South Yorkshire,Chile,80.903,-22.565,America/Denver
203 Cronin Shoal,Erynside,55315-8093,Oxfordshire,Vanuatu,21.236,-74.88,America/Denver
62 Jade Shore,Opalbury,62899,Oxfordshire,Bolivia,-6.93,-15.79,America/Denver
131 Fay Corners,Port Ricky,28816-8590,North Yorkshire,Colombia,-1.099,162.753,America/Denver
946 Lehner Drive,Williemouth,15069-3831,Gloucestershire,Nauru,-25.729,141.282,America/Denver
800 Howell Plaza,Katrinaside,69715-7969,West Midlands,Somalia,-78.504,-96.13,America/Denver
774 Goyette Circle,Lake Brianne,87527-7919,Hertfordshire,France,48.266,-132.358,America/Denver
2 Carter Pike,South Dagmarshire,27462-9149,Staffordshire,Burkina Faso,-88.849,8.145,America/Denver
242 Stiedemann Field,Rogers,37721,Hertfordshire,Panama,31.898,162.206,America/Denver
508 Fisher Light,East Vicentaborough,25141,Shropshire,Bahrain,-86.703,-137.596,America/Denver
3 Gutkowski Ferry,North Celia,84052-1355,Nottinghamshire,Dominican Republic,26.682,-136.696,America/Denver
626 King Drives,West Everardo,87203-4900,North Yorkshire,Vanuatu,-14.746,-60.625,America/Denver
33 Antonietta Highway,North Antonetta,99590,Somerset,Greece,-65.912,-151.981,America/Denver
1233 Kihn Expressway,East Khalilton,38794,Buckinghamshire,Czech Republic,-14.287,-97.952,America/Denver
92 Viviane Junctions,Henderson,10017,Rutland,Albania,-43.819,66.187,America/Denver
1107 Kuphal Mountain,Johnnieburgh,23948,Northamptonshire,Nauru,54.625,-164.241,America/Denver
153 Collins Lane,Buffalo,63592,Cheshire,Nauru,85.096,148.765,America/Denver
1229 Dianna Inlet,Borerville,48083,Bedfordshire,Sri Lanka,55.321,-32.808,America/Denver
61 Fay Corners,Tabithaville,27498-2690,South Yorkshire,Nigeria,23.36,-69.987,America/Denver
1125 Max Wall,Jaquelinview,90160,Suffolk,Nigeria,-8.096,74.955,America/Denver
1064 Eugenia Heights,New Ansley,83184-5020,Cumbria,Tanzania,9.821,126.145,America/Denver
312 Dianna Inlet,Port Adalberto,96338,Isle of Wight,Peru,8.801,-148.81,America/Denver
967 Zulauf Branch,Wehnerfort,96135-7085,Hertfordshire,Dominican Republic,-38.549,-158.37,America/Guyana
1001 Max Wall,Lake Brianne,41724-4179,Cambridgeshire,Mauritius,-56.866,-147.301,America/Guyana
314 Arturo Manors,Katrinaside,45924,Rutland,Guinea,-37.375,79.047,America/Guyana
672 Cronin Shoal,Port Asa,34522,Kent,Greece,44.509,-57.801,America/Guyana
998 Zulauf Branch,Lake Ludie,35545-2180,Staffordshire,Canada,-37.936,151.056,America/Guyana
566 Kreiger Mission,White Plains,88834-2275,West Sussex,Norfolk Island,75.577,176.824,America/Guyana
1066 Zboncak Center,North Kaleighshire,74323-8665,Hertfordshire,Cyprus,-12.711,-147.053,America/Guyana
1198 Quigley Parkways,North Kaleighshire,55170-2654,Suffolk,Peru,3.469,-121.282,America/Guyana
196 Schimmel Fields,Lake Adell,79358,Essex,Somalia,30.586,-132.95,America/Guyana
1297 Heathcote Cliff,Port Hardymouth,53228,East Riding of Yorkshire,Slovakia (Slovak Republic),-29.848,167.522,America/Guyana
464 Jazmyn Isle,Venamouth,65341-5405,Lincolnshire,Costa Rica,32.354,-86.001,America/Guyana
1393 Kihn Expressway,Olympia,65419-3774,City of London,Albania,-28.307,87.129,America/Guyana
1037 Fisher Light,Marionton,11521,Oxfordshire,Czech Republic,40.806,-94.676,America/Guyana
1465 Elian Road,Lake Ludie,59049-2733,Buckinghamshire,United States of America,-32.781,69.201,America/Guyana
329 Conner Vista,East Providence,79754,Surrey,Ethiopia,17.181,-7.998,America/Guyana
223 Hauck Stream,Tallahassee,74679,Cheshire,Vanuatu,-21.754,107.922,America/Guyana
765 Tremblay Springs,Kettering,89754,Suffolk,Czech Republic,-66.463,-14.162,America/Guyana
393 Goyette Circle,East Filibertofurt,64135,Oxfordshire,Saint Martin,13.157,11.874,America/Guyana
1214 Calista Via,Tallahassee,29073,Buckinghamshire,Belarus,-20.21,71.586,America/Guyana
1386 Jazmyn Isle,Jaquelinview,86325-3959,West Yorkshire,Monaco,35.398,130.911,America/Guyana
536 Stroman Turnpike,West Estaton,16586,Greater London,Sierra Leone,27.716,25.533,America/Guyana
1144 Doyle Expressway,Bellingham,97855,Derbyshire,Mayotte,58.413,167.151,America/Guyana
51 Oswald Junction,White Plains,76843-9486,City of London,Panama,85.524,24.652,America/Guyana
90 Beer Plaza,East Filibertofurt,27957,West Yorkshire,Somalia,2.847,1.529,America/Guyana
89 Curt Locks,West Janetborough,77362-4178,Dorset,Peru,18.348,-101.742,America/Guyana
513 Daugherty Center,Haneborough,73637,East Sussex,Chile,49.946,-143.251,America/Guyana
465 Graham Walks,South Stacey,84739,East Riding of Yorkshire,Latvia,-41.957,125.592,America/Guyana
792 Hodkiewicz Oval,Tallahassee,81512-6826,Greater Manchester,Senegal,-56.902,-154.631,America/Guyana
452 Dante Summit,Cruzshire,73892-9074,Tyne and Wear,Peru,61.37,-22.213,America/Guyana
723 Moises Causeway,Lake Cesar,59115,Cornwall,Colombia,41.945,76.739,America/Guyana
1338 Smitham Drive,Opalbury,14947,South Yorkshire,Moldova,76.01,52.664,America/Guyana
1182 Esteban Inlet,Murray,32589-2588,Greater London,Saint Martin,-15.98,-46.491,America/Guyana
300 Carmelo Plaza,New Montemouth,77758-9534,Hampshire,Nigeria,-26.524,-33.901,America/Guyana
989 Missouri Extension,New Ansley,54283-4309,Cheshire,New Caledonia,38.117,-58.554,America/Guyana
908 Durgan Parkways,West Estaton,90068,West Yorkshire,Vanuatu,-37.7,98.39,America/Guyana
979 Torphy Fords,Bahringertown,56053-9199,Berkshire,Saint Kitts and Nevis,27.783,124.584,America/Guyana
360 Daugherty Center,Rettaland,91597-8657,Isle of Wight,United Kingdom,-72.459,-76.534,America/Guyana
957 King Drives,Connfurt,99925,Lancashire,Mozambique,89.26,50.321,America/Guyana
329 Smitham Drive,New Garlandfort,73924,West Midlands,Qatar,45.745,64.489,America/Guyana
1105 Bechtelar Fields,South Verdieton,72324,Bedfordshire,Burundi,36.666,121.348,America/Guyana
1437 Stroman Turnpike,Murray,83643,Oxfordshire,Brazil,-27.491,-134.55,America/Guyana
1349 Parker Ways,West Janetborough,14420,Northumberland,Guinea-Bissau,83.986,-136.482,America/Guyana
447 Jade Shore,North Sigmund,60375,Greater Manchester,Tanzania,-40.728,-172.425,America/Guyana
142 Zboncak Center,North Winnifred,38125-2400,Dorset,Montenegro,-47.195,-144.149,America/Guyana
329 Rohan Tunnel,East Khalilton,13818,Warwickshire,Panama,-56.015,17.904,America/Guyana
656 Hilma Mills,Aliso Viejo,94768-3368,Cambridgeshire,Isle of Man,-33.467,133.761,America/Guyana
1286 Max Wall,West Dellside,79905,South Yorkshire,Peru,87.725,-169.102,America/Guyana
963 Schimmel Fields,Port Salvador,91957-9146,Cumbria,Mozambique,-83.31,-1.505,America/Guyana
1176 Konopelski Inlet,East Khalilton,73219,West Sussex,Mayotte,9.096,-30.965,America/Guyana
651 Glover Lights,Lake Adell,82014-7730,Isle of Wight,Germany,-53.707,-65.835,America/Guyana
715 Dianna Inlet,South Stacey,45959-8901,Durham,Indonesia,26.588,-46.018,America/Guyana
25 Lockman Greens,North Antonetta,12772-4467,Herefordshire,Nauru,66.661,-128.825,America/Guyana
197 Beer Plaza,Lawrence,47850,Durham,Sierra Leone,-22.958,6.926,America/Guyana
828 Rath Walk,Borerville,97725,Cornwall,Switzerland,84.073,-117.581,America/Guyana
1294 Fisher Light,Padbergmouth,15376,Hertfordshire,Macao,72.72,-40.464,America/Guyana
557 Durgan Parkways,Bernierfurt,64452-3169,City of London,Burkina Faso,26.2,-156.32,America/Guyana
179 Zboncak Center,Port Ricky,58093-8807,East Sussex,Slovakia (Slovak Republic),28.515,177.505,America/Guyana
463 Hilma Mills,Port Adalberto,89902-6248,East Riding of Yorkshire,Nigeria,-14.981,-27.534,America/Guyana
404 Kihn Expressway,Henderson,58943-8973,Merseyside,"Virgin Islands, U.S.",-76.516,-118.15,America/Guyana
937 Jade Shore,Padbergmouth,62549-8622,Greater Manchester,Croatia,-3.826,-142.365,America/Guyana
50 Collins Lane,Tabithaville,32267-1611,West Midlands,Guinea,0.793,157.222,America/Guyana
316 Konopelski Inlet,North Kaleighshire,78695,Northumberland,Pitcairn Islands,-85.166,-24.581,America/Guyana
929 Harber Village,East Filibertofurt,43041,Wiltshire,Nigeria,-80.309,97.128,America/Guyana
955 Graham Walks,Jaskolskifort,55890,Wiltshire,Bolivia,-71.1,110.078,America/Guyana
1137 Hilma Mills,West Lucy,41015-8039,South Yorkshire,Vanuatu,18.943,167.994,America/Guyana
1148 King Drives,Marionton,85075-5223,Wiltshire,Tanzania,29.328,-16.427,America/Guyana
1450 Lehner Drive,North Celia,25648,West Midlands,Vanuatu,-12.126,79.98,America/Guyana
1032 Lehner Drive,Farmington,50578,Dorset,Pitcairn Islands,-83.723,-161.022,America/Guyana
1406 Max Wall,Borerville,77996-9951,Shropshire,United Kingdom,54.062,105.581,America/Guyana
1261 Fisher Light,North Antonetta,29888,Norfolk,Argentina,-86.26,80.15,America/Guyana
559 Genesis Plaza,Reichertland,59383,Somerset,Panama,-2.45,114.104,America/Guyana
1048 Lehner Drive,Opalbury,51957,Merseyside,Tanzania,-45.674,19.762,America/Guyana
1296 Curt Locks,West Dorris,44606-3082,Dorset,Mauritius,15.575,78.926,America/Indiana/Indianapolis
899 Chyna Plaza,New Solonmouth,73630,Dorset,Vanuatu,2.075,-55.506,America/Indiana/Indianapolis
1260 Emerald Key,Elisabethland,85274,Northamptonshire,Nigeria,-74.283,-68.757,America/Indiana/Indianapolis
1401 Dave Stravenue,Lake Ludie,13532-6632,South Yorkshire,Trinidad and Tobago,-79.268,104.03,America/Indiana/Indianapolis
388 Gutkowski Ferry,Henderson,74215,Worcestershire,Anguilla,33.419,82.737,America/Indiana/Indianapolis
1419 Zboncak Center,Murray,43238,Worcestershire,Macao,11.795,26.282,America/Indiana/Indianapolis
783 Tremblay Springs,Marionton,24145-8871,Greater Manchester,Benin,-83.038,112.863,America/Indiana/Indianapolis
1483 Lockman Greens,Bellingham,30130,Northamptonshire,New Caledonia,-41.445,-21.941,America/Indiana/Indianapolis
599 Howell Plaza,Kuvalismouth,55765,West Midlands,Belize,53.331,-156.57,America/Indiana/Indianapolis
621 Hauck Stream,Connfurt,71451,Greater Manchester,Panama,-62.996,-0.583,America/Indiana/Indianapolis
313 Tremblay Springs,Katrinaside,32541-2471,Greater London,Puerto Rico,32.571,130.659,America/Indiana/Indianapolis
804 Caesar Place,Funkville,93570,Suffolk,Belarus,-89.683,-151.141,America/Indiana/Indianapolis
886 Kihn Expressway,Lake Ludie,17335-2199,Greater London,Belarus,30.572,50.699,America/Indiana/Indianapolis
997 Jade Shore,New Garlandfort,44927-5170,Bedfordshire,Hungary,64.683,125.538,America/Indiana/Indianapolis
752 Daugherty Center,West Estaton,94243-6464,Shropshire,Christmas Island,-32.174,-57.669,America/Indiana/Indianapolis
141 Chyna Plaza,New Kyle,44455-9204,Shropshire,Wallis and Futuna,38.63,61.044,America/Indiana/Indianapolis
582 Tremblay Springs,New Solonmouth,23239-7940,West Midlands,United States of America,-78.183,15.315,America/Indiana/Indianapolis
932 Moises Causeway,Denesikburgh,84772-8545,Hampshire,Mozambique,-78.809,124.297,America/Indiana/Indianapolis
1229 Viviane Junctions,Buffalo,86465,Isle of Wight,Nigeria,-84.854,14.212,America/Indiana/Indianapolis
335 Collins Lane,East Vicentaborough,59340-2441,Northumberland,Tunisia,4.595,12.491,America/Indiana/Indianapolis
598 Konopelski Inlet,Cuyahoga Falls,47415,Essex,United States of America,-5,-126.909,America/Indiana/Indianapolis
1220 Zulauf Branch,East Vicentaborough,16424,Lancashire,Gabon,75.707,105.655,America/Indiana/Indianapolis
630 Abbott Square,Haneborough,59991-6598,West Yorkshire,United Kingdom,-60.275,157.901,America/Indiana/Indianapolis
631 Schumm Land,Kissimmee,91915,Warwickshire,Benin,56.691,53.734,America/Indiana/Indianapolis
1151 Hodkiewicz Oval,Denesikburgh,68343-5903,Northamptonshire,Lao Peoples Democratic Republic,6.122,-120.769,America/Indiana/Indianapolis
153 Durgan Parkways,Olympia,84913,Cheshire,Pitcairn Islands,-68.921,99.954,America/Indiana/Indianapolis
1375 Hauck Stream,Grand Rapids,76551-3016,West Midlands,Faroe Islands,29.043,18.967,America/Indiana/Indianapolis
1102 Antonietta Highway,Kissimmee,27837-9465,Bristol,Saint Barthelemy,-38.835,-128.469,America/Indiana/Indianapolis
1001 Graham Walks,Port Adalberto,22839-2212,Lincolnshire,Bolivia,-6.96,58.124,America/Indiana/Indianapolis
1412 Glover Lights,Jaskolskifort,73378,Rutland,Romania,25.333,141.78,America/Indiana/Indianapolis
690 Kreiger Mission,West Dorris,98432,Merseyside,Central African Republic,16.65,94.944,America/Indiana/Indianapolis
349 Frances Groves,Opalbury,69455-6754,Hampshire,Greece,42.284,-4.309,America/Indiana/Indianapolis
526 King Drives,South Stacey,88512-2239,Suffolk,Comoros,-11.873,-16.55,America/Indiana/Indianapolis
1358 Wolf Glen,West Dellside,86441,Kent,Romania,83.745,154.167,America/Indiana/Indianapolis
438 Zulauf Branch,East Vicentaborough,28553-6012,Suffolk,Montenegro,-77.112,22.266,America/Indiana/Indianapolis
588 Missouri Extension,North Kaleighshire,82349,Rutland,Trinidad and Tobago,-86.824,75.929,America/Indiana/Indianapolis
1293 Sammy Creek,South Ahmedfort,10348,Somerset,Slovakia (Slovak Republic),2.838,-56.281,America/Indiana/Indianapolis
894 Zboncak Center,Bellingham,49409,Leicestershire,Angola,29.601,120.062,America/Indiana/Indianapolis
486 Abbott Square,Frisco,52084-2069,Herefordshire,Paraguay,-82.991,-12.53,America/Indiana/Indianapolis
46 Fay Corners,Wehnerfort,30244-1655,Surrey,Congo,-29.985,94.356,America/Indiana/Indianapolis
519 Stokes Wells,North Nona,56887-2953,Oxfordshire,Macao,-8.141,93.279,America/Indiana/Indianapolis
927 Schimmel Fields,Jaquelinview,74637-7778,Berkshire,Congo,37.622,45.6,America/Indiana/Indianapolis
1372 Frances Groves,South Dagmarshire,69879-5089,Greater Manchester,Qatar,10.528,4.048,America/Indiana/Indianapolis
592 Daugherty Center,New Philip,66360,East Sussex,Tunisia,-57.763,97.95,America/Indiana/Indianapolis
1007 Corwin Mission,Denesikburgh,20754-5130,West Midlands,Afghanistan,89.228,-66.031,America/Indiana/Indianapolis
580 Schimmel Fields,East Filibertofurt,47794-2594,Cambridgeshire,Sierra Leone,74.462,147.711,America/Indiana/Indianapolis
1157 Zboncak Center,West Lucy,40155,Surrey,France,88.802,-105.331,America/Indiana/Indianapolis
387 Durgan Parkways,Port Adalberto,37003-3350,Kent,Namibia,-35.341,47.995,America/Indiana/Indianapolis
1227 Calista Via,Lake Zackton,34148,Gloucestershire,Macao,19.991,-98.626,America/Indiana/Indianapolis
1464 Schumm Land,New Garlandfort,82568,Surrey,Macao,-84.897,2.988,America/Indiana/Indianapolis
1257 Max Wall,Katrinaside,44794-3070,Lancashire,Estonia,-52.111,115.705,America/Indiana/Indianapolis
498 Hauck Stream,Shoreline,22685,Oxfordshire,Lao Peoples Democratic Republic,25.116,129.601,America/Indiana/Indianapolis
1358 Doyle Expressway,Frisco,19627,Hampshire,Latvia,31.178,150.767,America/Indiana/Indianapolis
1407 Dave Stravenue,North Sigmund,72908,Surrey,Isle of Man,46.72,-12.063,America/Indiana/Indianapolis
517 Doyle Expressway,Lake Ludie,85360,Northumberland,Brazil,-36.192,119.858,America/Indiana/Indianapolis
48 Curt Locks,Farmington,96777,East Riding of Yorkshire,Saint Barthelemy,-2.766,65.32,America/Indiana/Indianapolis
334 Lockman Greens,Grand Rapids,97883,Cheshire,Syrian Arab Republic,-25.771,-178.857,America/Indiana/Indianapolis
234 Calista Via,White Plains,31792,Shropshire,France,-2.955,65.354,America/Indiana/Indianapolis
983 Caesar Place,Cruzshire,57315,Suffolk,Vanuatu,22.891,-95.831,America/Indiana/Indianapolis
198 Rohan Tunnel,Venamouth,42344-4846,Greater Manchester,Indonesia,26.762,107.231,America/Indiana/Indianapolis
952 Adell Mews,West Dorris,40730-1475,Warwickshire,Mozambique,49.603,128.722,America/Indiana/Indianapolis
923 Hilma Mills,Jaquelinview,34756,Durham,Lao Peoples Democratic Republic,14.757,-104.426,America/Indiana/Indianapolis
579 Shakira Crossroad,Kuvalismouth,16189,West Midlands,Liechtenstein,9.701,-158.9,America/Indiana/Indianapolis
888 Glover Lights,Kuvalismouth,55329-6224,Herefordshire,Faroe Islands,-70.286,173.522,America/Indiana/Indianapolis
1233 Viviane Junctions,Frisco,37835-5183,Kent,Burkina Faso,-41.076,-161.102,America/Indiana/Indianapolis
364 Zboncak Center,Maxwellport,42706-1667,Staffordshire,Namibia,17.591,-91.076,America/Indiana/Indianapolis
536 Harber Village,Marionton,39056,Dorset,Tanzania,56.517,15.424,America/Indiana/Indianapolis
1459 Chyna Plaza,New Garlandfort,82024-9416,West Midlands,Faroe Islands,17.477,174.266,America/Indiana/Indianapolis
409 Beer Plaza,Tryciastad,61258,Bristol,Burkina Faso,13.161,11.522,America/Indiana/Indianapolis
1498 Myriam Spur,Port Asa,50372-7693,Devon,Bahrain,38.111,73.317,America/Indiana/Indianapolis
334 Rath Walk,North Nona,28293,Derbyshire,Azerbaijan,-83.33,6.887,America/Indiana/Indianapolis
1107 Georgiana Throughway,Port Amie,22137-7222,Buckinghamshire,Germany,-24.953,155.773,America/Indiana/Indianapolis
1330 Kihn Expressway,West Estaton,33654,Worcestershire,Mayotte,-72.51,-63.794,America/Indiana/Indianapolis
355 Schimmel Fields,East Filibertofurt,17975-3708,West Yorkshire,Lao Peoples Democratic Republic,51.909,112.567,America/Indiana/Indianapolis
767 Laurianne Glens,South Darienbury,91373,South Yorkshire,Liechtenstein,54.679,105.582,America/Juneau
562 Wolf Glen,Murray,14225-7230,Essex,Mozambique,85.719,10.119,America/Juneau
464 Collins Lane,Tryciastad,12056-6751,Rutland,Albania,-80.723,38.405,America/Juneau
1134 Harmon Lodge,Funkville,69538,Berkshire,Mongolia,3.967,63.029,America/Juneau
235 Daugherty Center,Haneborough,65110,Durham,Moldova,-58.7,122.817,America/Juneau
369 Goyette Circle,New Davonteside,87073,Norfolk,Senegal,-65.063,-148.069,America/Juneau
1381 Abbott Square,Shoreline,37913,Gloucestershire,Cyprus,-72.609,-153.138,America/Juneau
1141 Lehner Drive,New Kyle,29642,Hampshire,Pitcairn Islands,-19.391,-0.722,America/Juneau
958 Durgan Parkways,Reichertland,34004-3508,West Sussex,British Indian Ocean Territory (Chagos Archipelago),14.832,-159.921,America/Juneau
546 Oswald Junction,New Kyle,15530-5729,Essex,Panama,79.803,-63.12,America/Juneau
1040 Rohan Tunnel,Henderson,36827-5525,Cambridgeshire,British Indian Ocean Territory (Chagos Archipelago),-83.797,-10.326,America/Juneau
264 Dianna Inlet,North Nona,41635-4802,Cambridgeshire,Peru,-58.513,135.974,America/Juneau
87 Harber Village,South Stacey,56963-1223,Worcestershire,Gabon,-86.676,-121.809,America/Juneau
1219 Konopelski Inlet,North Braulio,89277-7941,Derbyshire,Macao,-17.115,-130.464,America/Juneau
170 Elian Road,West Everardo,27188-2211,Rutland,Tajikistan,-51.007,-167.703,America/Juneau
80 Rosendo Spring,North Nona,45860,Greater London,Saint Martin,-13.528,-47.456,America/Juneau
560 Moises Causeway,North Sigmund,37874,Nottinghamshire,Antigua and Barbuda,-76.098,-81.814,America/Juneau
411 Benny River,Venamouth,46996,Isle of Wight,Sierra Leone,70.282,-31.503,America/Juneau
142 Hilma Mills,Lake Ludie,51364-5856,Nottinghamshire,Romania,48.666,-149.807,America/Juneau
921 Caesar Place,Maxwellport,52141-5708,Norfolk,Mongolia,-73.933,155.858,America/Juneau
111 Rath Walk,South Verdieton,68370-6885,Rutland,Dominican Republic,-76.211,38.952,America/Juneau
49 Stiedemann Field,Franeckiview,55460-3350,South Yorkshire,Isle of Man,-28.821,-61.344,America/Juneau
1315 Dante Summit,Port Ricky,92819-6493,Somerset,Tanzania,-73.222,-1.372,America/Juneau
93 Jocelyn Throughway,East Providence,23944,Dorset,Cocos (Keeling) Islands,60.877,-173.928,America/Juneau
542 Collins Lane,Jaquelinview,88050-6879,Essex,Sri Lanka,-8.12,-148.218,America/Juneau
1069 Doyle Expressway,Tabithaville,11509-7329,East Sussex,Burkina Faso,78.108,135.01,America/Juneau
61 Quitzon Green,White Plains,83085,Northamptonshire,Burundi,-26.627,-40.391,America/Juneau
1284 Durgan Parkways,Murray,85813,West Sussex,Angola,80.584,77.41,America/Juneau
114 Benny River,North Sigmund,95456-4601,Rutland,Faroe Islands,-31.407,-53.803,America/Juneau
856 Gutkowski Ferry,West Janetborough,61396-8783,East Sussex,Paraguay,-15.015,-50.665,America/Juneau
1251 Dameon Mountain,Port Amie,56064-2288,East Sussex,Panama,63.93,-12.952,America/Juneau
777 Harber Village,Haneborough,15878-8106,Warwickshire,Nauru,-6.923,14.411,America/Juneau
624 Max Wall,West Dellside,12680,Bristol,Bahrain,-80.79,60.261,America/Juneau
149 Viviane Junctions,East Filibertofurt,11375-2004,Oxfordshire,Angola,16.83,169.761,America/Juneau
600 Bechtelar Fields,Frisco,14723-9101,Kent,Ecuador,32.24,43.786,America/Juneau
228 Aracely Row,Connfurt,72420,Surrey,Azerbaijan,-44.178,156.764,America/Juneau
529 Schumm Land,New Solonmouth,17964,Merseyside,Isle of Man,27.286,-138.057,America/Juneau
891 Moises Causeway,Bernierfurt,88700-1409,East Riding of Yorkshire,Anguilla,-18.635,111.484,America/Juneau
627 Harber Village,Erynside,61159-5374,Bedfordshire,Burkina Faso,27.73,42.692,America/Juneau
536 Quigley Parkways,Lake Cesar,58871-6621,Herefordshire,Anguilla,-8.435,140.704,America/Juneau
1260 Stokes Wells,West Everardo,64982-5404,Cumbria,Lao Peoples Democratic Republic,-19.325,18.704,America/Juneau
1250 Laurianne Glens,Rogers,26605-4087,Tyne and Wear,Guinea-Bissau,50.907,-131.59,America/Juneau
317 Lockman Greens,Lake Zackton,41754,North Yorkshire,Anguilla,47.639,179.527,America/Juneau
929 Corwin Mission,West Estaton,55728-7667,Bristol,Liechtenstein,-85.98,177.013,America/Juneau
571 Rath Walk,New Kyle,17098-6953,Staffordshire,Comoros,69.49,-138.02,America/Juneau
1192 Natalia Points,New Garlandfort,77962-8652,East Sussex,Sri Lanka,62.393,142.865,America/Juneau
358 Jocelyn Throughway,Denesikburgh,19498-8790,Bedfordshire,British Indian Ocean Territory (Chagos Archipelago),85.769,-26.365,America/Juneau
241 Kuphal Mountain,Port Ricky,13408,Durham,Iran,67.687,-135.693,America/Juneau
986 Parker Ways,New Merle,65146,Bedfordshire,Tajikistan,61.574,160.69,America/Juneau
1101 Chyna Plaza,Farmington,48508-8643,Lancashire,Montenegro,12.612,-84.708,America/Juneau
1038 Fannie Loaf,West Everardo,18109-5021,City of London,Mongolia,-9.839,-75.031,America/Juneau
624 Laurianne Glens,Rettaland,77159,Somerset,Ecuador,24.488,-118.769,America/Juneau
466 Emard Hill,Bernierfurt,20494-4395,East Riding of Yorkshire,Moldova,9.324,-49.688,America/Juneau
21 Harmon Lodge,Port Hardymouth,41159-9817,Berkshire,Comoros,25.107,91.338,America/Juneau
683 Dariana Junction,North Celia,30659,Gloucestershire,Afghanistan,44.98,-98.603,America/Juneau
1023 Fay Corners,North Antonetta,68909,Norfolk,Bolivia,-35.166,79.816,America/Juneau
1359 Adell Mews,West Everardo,22277,Lancashire,Bolivia,-16.171,-174.498,America/Juneau
500 Schimmel Fields,Lake Anthony,61272-5370,Worcestershire,Puerto Rico,78.866,124.104,America/Juneau
1241 Harber Village,Kettering,79897,Herefordshire,French Southern Territories,-37.81,99.662,America/Juneau
1293 Carmelo Plaza,Opalbury,75319-4051,Cumbria,Benin,47.671,-100.782,America/Juneau
915 Torphy Fords,Denesikburgh,42621,Devon,"Virgin Islands, U.S.",-28.587,-2.69,America/Juneau
10 Calista Via,Cruzshire,49435,Somerset,Bolivia,-31.926,79.013,America/Juneau
12 Price Spring,Aliso Viejo,21818,Suffolk,Saint Barthelemy,-23.249,-57.827,America/Juneau
